Neighborhood,Borough,TotalPopulation,Hispanic,White,Black,NativeAmerican,PacificIslander,Other,Asian,EastAsian,SouthAsian,SouthEastAsian,OtherAsian,GreatestValue,MajorityRace,IsMajorityWhite,NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints,complaints_per_capita,indoor_air_quality_complaints_per_capita,asbestos_complaints_per_capita,mold_complaints_per_capita,sewage_complaints_per_capita,complaints_per_capita_scaled
MURRAY HILL-KIPS BAY,Manhattan,58079.0,10.766369944386096,60.69663733879715,6.112364193598375,0.0,0.0,0.9469860018251003,17.553676888376177,10.528762547564524,5.387489454019525,1.0657897002358856,0.12569086933314969,60.69663733879715,White,true,MURRAY HILL-KIPS BAY,805,669,70,43,23,0.013860431481258286,0.011518793367654401,0.001205254911413764,7.403708741541694E-4,3.9601232803595105E-4,0.338748352198347
UPPER EAST SIDE-CARNEGIE HILL,Manhattan,54910.0,7.455836823893644,82.65707521398652,0.732107084319796,0.0364232380258605,0.0018211619012930248,0.287743580404298,6.022582407576033,2.997632489528319,2.5478054999089417,0.3806228373702422,0.07102531415042798,82.65707521398652,White,true,UPPER EAST SIDE-CARNEGIE HILL,783,650,69,46,17,0.014259697687124385,0.011837552358404663,0.0012566017118921871,8.377344745947914E-4,3.0959752321981426E-4,0.3494315804187609
MORNINGSIDE HEIGHTS,Manhattan,38346.0,20.11943879413759,45.07901736817399,14.335263130443854,0.5945861367548114,0.0026078339331351377,0.5346059562927032,16.23637406769937,11.174568403484066,3.859594221040004,0.6858603244145413,0.4120377614353518,45.07901736817399,White,true,MORNINGSIDE HEIGHTS,504,424,46,14,20,0.013143483023001095,0.011057215876492985,0.0011996036092421635,3.650967506389193E-4,5.215667866270276E-4,0.3195648503409317
EAST ELMHURST,Queens,25017.0,55.909981212775314,6.63548786824959,19.614662029819723,0.17188311947875445,0.019986409241715634,0.22384778350721507,15.401526961666068,4.161170404125195,9.097813486828956,1.8027741136027502,0.019986409241715634,55.909981212775314,Hispanic,false,EAST ELMHURST,102,74,7,9,12,0.004077227485309989,0.0029579885677739138,2.7980972938401884E-4,3.597553663508814E-4,4.796738218011752E-4,0.0769776351178428
NORTH CORONA,Queens,42928.0,84.835072679836,2.0825568393589267,5.180767797241893,0.044260156541185244,0.0,0.36805814386880353,7.403093551994036,5.586097651882222,1.2625792023853895,0.5218039508013418,0.03261274692508386,84.835072679836,Hispanic,false,NORTH CORONA,147,112,13,17,5,0.0034243384271338056,0.002609019754006709,3.0283265001863587E-4,3.960119269474469E-4,1.1647409616101379E-4,0.059508180632014254
ELMHURST,Queens,104009.0,42.16173600361507,5.496639713870914,1.2931573229239777,0.33170206424444043,0.04038112086454057,0.28939803286254073,48.79385437798652,22.34518166697113,13.56901806574431,11.13653626128508,0.6297531944350969,48.79385437798652,Asian,false,ELMHURST,403,321,42,20,19,0.0038746646924785353,0.0030862713803613147,4.038112086454057E-4,1.9229105173590747E-4,1.826764991491121E-4,0.07155763083751912
CORONA,Queens,73657.0,70.07073326364093,6.541129831516352,7.801023663738681,0.0651669223563273,0.0,0.5281235999294025,15.512442809237411,6.898190260260397,5.555480130876902,1.8192432491141373,1.1363482085884573,70.07073326364093,Hispanic,false,CORONA,294,239,37,5,13,0.003991473994325047,0.003244769675658797,5.023283598300229E-4,6.788221078784094E-5,1.7649374804838645E-4,0.07468311556815523
MASPETH,Queens,43999.0,34.38487238346326,50.13750312507103,0.7750176140366827,0.0750017045841951,0.0,0.8182004136457647,12.413918498147686,8.493374849428397,1.5386713334393964,2.3295983999636354,0.03409168390190686,50.13750312507103,White,true,MASPETH,138,105,16,3,14,0.0031364349189754314,0.0023864178731334805,3.636446282870065E-4,6.818336780381373E-5,3.181890497511307E-4,0.051804701504744435
RIDGEWOOD,Queens,73527.0,47.23298924204714,40.03563316876794,2.28079481006977,0.0,0.0,0.3128102601765338,8.153467433731826,4.1018945421409825,2.0808682524786812,1.6442939328409973,0.1672854869639724,47.23298924204714,Hispanic,false,RIDGEWOOD,520,413,53,19,35,0.00707223196920859,0.005616984237082977,7.208236430154909E-4,2.5840847579800615E-4,4.7601561331211663E-4,0.15711543779824858
GLENDALE,Queens,36257.0,44.449347712165924,48.7436908734865,1.2963014038668395,0.08274264280001103,0.0,0.17651763797335687,4.239181399453899,2.3471329674269796,1.2797528753068372,0.5874727638800784,0.0,48.7436908734865,White,true,GLENDALE,161,115,22,10,14,0.004440521830267259,0.0031718013073337562,6.067793805334142E-4,2.758088093333701E-4,3.8613233306671816E-4,0.08669835863849533
MIDDLE VILLAGE,Queens,37098.0,20.664186748611783,63.634158175642895,0.5579815623483746,0.11321365033155426,0.0,2.1375815407838696,12.065340449619926,7.175588980538035,1.668553560838859,2.194188365949647,0.7736266105989541,63.634158175642895,White,true,MIDDLE VILLAGE,1431,1386,12,16,17,0.03857350800582242,0.037360504609412905,3.2346757237586933E-4,4.312900965011591E-4,4.5824572753248155E-4,1.0
REGO PARK,Queens,30274.0,18.897403712756823,37.24648212988043,3.3229834181145534,0.0,0.11230759067186365,1.0074651516152473,37.391821364867546,19.16496003171038,10.01189139195349,6.665785822818259,0.8555195877650789,37.391821364867546,Asian,false,REGO PARK,248,196,30,13,9,0.008191847790182996,0.006474202285789787,9.909493294576203E-4,4.2941137609830217E-4,2.972847988372861E-4,0.18707317316107322
FOREST HILLS,Queens,92512.0,15.173166724316845,48.46614493254929,3.2039086821169147,0.008647526807333102,0.0,0.4561570390868212,27.730456589415425,18.628934624697337,5.033941542718782,2.9423209961950882,0.40967658249740574,48.46614493254929,White,true,FOREST HILLS,742,595,87,35,25,0.008020581113801453,0.0064315980629539955,9.404185402974749E-4,3.7832929782082324E-4,2.7023521272915945E-4,0.18249056395585186
COLLEGE POINT,Queens,31377.0,40.71453612518724,25.936195302291488,1.899480511202473,0.0,0.09242438729005323,0.17847467890493035,30.560601714631737,26.184785033623353,2.0779551901074034,1.724192880135131,0.2422156356566912,40.71453612518724,Hispanic,false,COLLEGE POINT,124,91,11,12,10,0.003951939318609173,0.0029002135322051185,3.505752621346846E-4,3.8244574051056506E-4,3.187047837588042E-4,0.07362528007622685
EAST FLUSHING,Queens,30768.0,16.71541861674467,13.686297451898074,2.258840353614145,0.984789391575663,0.0,0.406266250650026,64.61583463338533,55.950988039521576,4.400676027041082,3.1396255850234005,0.22425897035881437,64.61583463338533,Asian,false,EAST FLUSHING,72,55,6,5,6,0.00234009360374415,0.0017875715028601144,1.950078003120125E-4,1.625065002600104E-4,1.950078003120125E-4,0.03049687257515681
QUEENSBORO HILL,Queens,20744.0,16.62167373698419,12.890474354030083,1.2485537986887774,0.20728885460856153,0.0,1.031623602005399,67.09892016968763,57.22136521403779,6.078866178172001,3.1575395295025066,0.37119166988044733,67.09892016968763,Asian,false,QUEENSBORO HILL,46,35,6,3,2,0.0022175086772078675,0.0016872348630929425,2.8924026224450445E-4,1.4462013112225222E-4,9.641342074816814E-5,0.027216848552765655
JAMAICA,Queens,59260.0,35.38980762740466,4.358758015524806,15.57543030712116,0.9686128923388458,0.04387445156935538,4.920688491393857,35.27505906176172,1.420857239284509,30.76105298683767,2.01484981437732,0.37630779615254806,35.38980762740466,Hispanic,false,JAMAICA,397,305,23,39,30,0.006699291258859264,0.005146810664866689,3.881201484981438E-4,6.581167735403308E-4,5.062436719541006E-4,0.14713660497240882
SOUTH JAMAICA,Queens,45556.0,13.427429976292915,2.29168495917113,57.14285714285714,1.483887962068663,0.0,7.191149354640443,15.771797348318554,0.9724295372728071,14.015716919834928,0.2721924664149618,0.07682851874615856,57.14285714285714,Black,false,SOUTH JAMAICA,223,163,22,9,29,0.004895074194398104,0.003578013873035385,4.829221178329968E-4,1.9755904820440776E-4,6.365791553253139E-4,0.09886088722917467
BAISLEY PARK,Queens,44511.0,13.540473141470647,1.2693491496484015,66.20610635573229,0.26285637258205835,0.0,6.625328570465728,7.416144323874997,0.5931118150569522,6.784839702545438,0.038192806272606766,0.0,66.20610635573229,Black,false,BAISLEY PARK,193,106,32,12,43,0.004336006829772416,0.002381433802880187,7.189234121902452E-4,2.695962795713419E-4,9.660533351306419E-4,0.08390183444902374
ST. ALBANS,Queens,55619.0,6.794440748665025,1.564213667991154,82.4628274510509,0.5106168755281468,0.2247433431021773,2.637587874647153,2.4631870403998635,0.2031679821643683,1.8698646146101152,0.3703770294323882,0.010787680468904512,82.4628274510509,Black,false,ST. ALBANS,230,146,26,27,31,0.0041352775130800625,0.002625002247433431,4.6746615365252884E-4,4.8544562110070297E-4,5.573634908933998E-4,0.0785308887760726
HOLLIS,Queens,23229.0,12.923500796418269,2.2644108657281845,52.133109475224934,0.16358861767618063,0.0,5.919324981703904,22.53217960308235,0.6629643979508373,17.76658487235783,2.2299711567437255,1.610056395023462,52.133109475224934,Black,false,HOLLIS,153,110,10,6,27,0.0065865943432778,0.004735459985363124,4.304963623057385E-4,2.582978173834431E-4,0.001162340178225494,0.14412115600326345
GLEN OAKS-FLORAL PARK-NEW HYDE PARK,Queens,25349.0,8.99443765040041,33.038778650045366,4.812813128723026,0.6824726813681012,0.15385222296737544,2.0316383289281625,48.151800859994474,5.140242218627954,38.569568819282814,3.6530040632766583,0.12229279261509331,48.151800859994474,Asian,false,GLEN OAKS-FLORAL PARK-NEW HYDE PARK,82,64,6,3,9,0.0032348416111089196,0.002524754428182571,2.3669572764211606E-4,1.1834786382105803E-4,3.550435914631741E-4,0.05443778473350795
BELLEROSE,Queens,28325.0,21.020300088261255,19.950573698146513,10.40423654015887,0.06354810238305383,0.0,1.0661959399823477,43.95410414827891,8.190644307149162,30.08296557811121,5.0450132391879965,0.28949691085613416,43.95410414827891,Asian,false,BELLEROSE,78,50,7,9,12,0.0027537511032656664,0.00176522506619594,2.471315092674316E-4,3.177405119152692E-4,4.236540158870256E-4,0.041565170887276355
QUEENS VILLAGE,Queens,59042.0,21.425425967955015,4.825378544087259,40.48304596727753,0.2032451475221029,0.0,7.238914670912232,20.217811049761185,2.003658412655398,14.34233257680973,3.5449341146980116,0.17445208495647166,40.48304596727753,Black,false,QUEENS VILLAGE,179,109,31,15,24,0.003031740117204702,0.001846143423325768,5.250499644320992E-4,2.540564344026286E-4,4.0649029504420583E-4,0.049003366344455915
CAMBRIA HEIGHTS,Queens,21653.0,5.8375282870733844,2.7848335103680784,87.74303791622408,0.5495774257608645,0.0,0.6188518911929063,0.5634323188472729,0.1662587170369002,0.20320509860065583,0.1939685032097169,0.0,87.74303791622408,Black,false,CAMBRIA HEIGHTS,66,48,9,3,6,0.003048076479009837,0.002216782893825336,4.156467925922505E-4,1.385489308640835E-4,2.77097861728167E-4,0.04944048092838852
LAURELTON,Queens,28918.0,6.611798879590566,1.0823708416902966,88.08008852617746,0.13486409848537242,0.0,1.3763054153122622,1.4316342762293381,0.29393457362196557,0.9198423127463863,0.12794799087073797,0.06224496853171035,88.08008852617746,Black,false,LAURELTON,218,179,11,10,18,0.007538557299951587,0.006189916315097863,3.803859188048966E-4,3.4580538073172417E-4,6.224496853171035E-4,0.16959297749505475
SPRINGFIELD GARDENS SOUTH-BROOKVILLE,Queens,23707.0,9.258868688572996,3.0370776563884085,82.05593284683849,0.12654490234951704,0.0,0.8436326823301135,1.9867549668874174,0.409161850930105,1.227485552790315,0.20669000717087777,0.008436326823301135,82.05593284683849,Black,false,SPRINGFIELD GARDENS SOUTH-BROOKVILLE,64,43,9,6,6,0.002699624583456363,0.0018138102670097439,3.7963470704855106E-4,2.5308980469903404E-4,2.5308980469903404E-4,0.04011689914425418
ROSEDALE,Queens,27169.0,9.849460782509478,6.01420736869226,76.37012771909161,0.3496632191100151,0.0,0.8907210423644596,4.998343700541058,0.46376384850380953,4.2474879458206045,0.28709190621664393,0.0,76.37012771909161,Black,false,ROSEDALE,71,50,4,4,13,0.0026132724796643233,0.001840332732157974,1.4722661857263794E-4,1.4722661857263794E-4,4.784865103610733E-4,0.03780636241820677
FAR ROCKAWAY-BAYSWATER,Queens,65068.0,24.31763693366939,26.887256408680148,40.44845392512448,0.0,0.05840044261388087,0.7315423864265077,4.613634966496588,0.5409725210548965,2.7110100202864693,1.204893342349542,0.1567590828056802,40.44845392512448,Black,false,FAR ROCKAWAY-BAYSWATER,394,310,36,16,32,0.006055203786807647,0.004764246634290281,5.532673510788714E-4,2.458966004794984E-4,4.917932009589968E-4,0.12990265590098518
RIKERS ISLAND,Queens,6661.0,32.5176399939949,16.003603062603215,47.39528599309413,0.5854976730220687,0.0,0.2702296952409548,2.657258669869389,1.411199519591653,0.6155231947155082,0.48040834709503083,0.1501276084671971,47.39528599309413,Black,false,RIKERS ISLAND,9,5,2,2,0,0.0013511484762047741,7.506380423359856E-4,3.0025521693439425E-4,3.0025521693439425E-4,0.0,0.00403551336231952
