Neighborhood,Borough,TotalPopulation,Hispanic,White,Black,NativeAmerican,PacificIslander,Other,Asian,EastAsian,SouthAsian,SouthEastAsian,OtherAsian,GreatestValue,MajorityRace,IsMajorityWhite,NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints,complaints_per_capita,indoor_air_quality_complaints_per_capita,asbestos_complaints_per_capita,mold_complaints_per_capita,sewage_complaints_per_capita,complaints_per_capita_scaled
HIGHBRIDGE,Bronx,33144.0,61.763818489017616,2.7425778421433744,32.563963311609946,0.0,0.0,1.0137581462708183,0.5943760559980691,0.13878831764421917,0.23231957518706253,0.0,0.15387400434467777,61.763818489017616,Hispanic,false,HIGHBRIDGE,459,367,33,13,46,0.013848660391020999,0.011072894038136615,9.956553222302679E-4,3.922278542119237E-4,0.0013878831764421917,0.33843339129867545
MOUNT HOPE,Bronx,48934.0,64.5665590387052,1.6185065598561328,29.76253729513222,0.1123962888788981,0.0020435688887072384,0.9870437732455961,0.9890873421343033,0.09604773776924021,0.5762864266154413,0.26770752442064827,0.049045653328973725,64.5665590387052,Hispanic,false,MOUNT HOPE,443,360,43,7,33,0.009053010176973065,0.007356847999346058,8.787346221441124E-4,1.430498222095067E-4,6.743777332733886E-4,0.21011542962492244
PELHAM BAY-COUNTRY CLUB-CITY ISLAND,Bronx,28126.0,41.06876199957335,46.572566308753466,4.735831614875916,0.0,0.0,0.5688686624475574,5.034487662660883,1.5537225343098913,0.440873213396857,2.9367844698855152,0.021332574841783403,46.572566308753466,White,true,PELHAM BAY-COUNTRY CLUB-CITY ISLAND,215,163,24,15,13,0.007644172651639053,0.005795349498684491,8.533029936713361E-4,5.33314371044585E-4,4.622057882386404E-4,0.17241894395321994
CO-OP CITY,Bronx,37285.0,28.475258146707795,5.436502614992624,60.02682043717312,0.0,0.0,0.4157167761834518,2.6713155424433417,0.002682043717312592,1.0111304814268471,1.4563497385007376,0.0,60.02682043717312,Black,false,CO-OP CITY,322,254,38,6,23,0.008636180769746546,0.006812391041973984,0.0010191766125787851,1.6092262303875554E-4,6.168700549818963E-4,0.1989622600830099
WILLIAMSBRIDGE-OLINVILLE,Bronx,62282.0,33.64856619890177,2.5994669406891235,58.38765614463248,0.5683825182235638,0.03050640634533252,1.5799107286214316,1.3679714845380688,0.09633602003789217,0.9007417873542917,0.3580488744741659,0.0,58.38765614463248,Black,false,WILLIAMSBRIDGE-OLINVILLE,557,418,55,19,65,0.008943193860184323,0.006711409395973154,8.830801836806782E-4,3.050640634533252E-4,0.0010436402170771652,0.2071770572875129
EASTCHESTER-EDENWALD-BAYCHESTER,Bronx,57325.0,28.368076755342347,2.199738334060183,65.85259485390318,0.09943305713039687,0.0,0.7483645878761448,0.7204535542956825,0.3785433929350196,0.2895769733972961,0.05233318796336677,0.0,65.85259485390318,Black,false,EASTCHESTER-EDENWALD-BAYCHESTER,211,158,20,6,27,0.0036807675534234626,0.00275621456607065,3.4888791975577847E-4,1.0466637592673354E-4,4.7099869167030093E-4,0.06636949480853258
WEST VILLAGE,Manhattan,31984.0,9.364057028514257,79.34904952476238,1.7321160580290145,0.08441720860430214,0.0,0.19697348674337167,5.524637318659329,3.864432216108054,1.2818909454727363,0.37831415707853927,0.0,79.34904952476238,White,true,WEST VILLAGE,1201,999,91,72,38,0.037550025012506254,0.031234367183591797,0.0028451725862931464,0.0022511255627813906,0.0011880940470235118,0.9726145057190844
LOWER EAST SIDE,Manhattan,45118.0,30.772640631233656,33.489959661332506,10.058069949909127,0.507557959129394,0.04211179573562658,0.4831774458087681,22.99747329225586,20.058513231969503,1.9105456802163219,0.9907354049381623,0.0,33.489959661332506,White,true,LOWER EAST SIDE,712,583,73,26,30,0.01578084134935059,0.012921672059931735,0.0016179795203688106,5.762666784875216E-4,6.649230905625249E-4,0.3901330589331953
EAST VILLAGE,Manhattan,70450.0,23.14833215046132,50.15046132008517,7.797019162526615,0.2044002838892832,0.017033356990773598,0.34634492547906315,14.136266855926188,11.483321504613201,1.8254080908445707,0.7338537970191625,0.014194464158978,50.15046132008517,White,true,EAST VILLAGE,1231,1122,53,22,34,0.017473385379701917,0.015926188786373315,7.52306600425834E-4,3.12278211497516E-4,4.8261178140525195E-4,0.4354207238637114
EAST HARLEM SOUTH,Manhattan,59773.0,42.23478828233483,18.610409382162516,22.312749903802718,0.11209074331219782,0.0,1.669650176501096,13.250129657203086,9.395546484198551,1.9205996018269118,1.232998176434176,0.6357385441587339,42.23478828233483,Hispanic,false,EAST HARLEM SOUTH,716,611,35,17,53,0.011978652568885617,0.010222006591604904,5.855486590935707E-4,2.844093487025915E-4,8.866879694845499E-4,0.28839729997836133
