NTA,total_complaints,indoor_air_quality_complaints,asbestos_complaints,mold_complaints,sewage_complaints
ASTORIA,593,493,43,37,20
LOWER EAST SIDE,712,583,73,26,30
MURRAY HILL-KIPS BAY,805,669,70,43,23
LENOX HILL-ROOSEVELT ISLAND,999,857,88,26,26
STARRETT CITY,140,129,2,4,5
NEW SPRINGVILLE-BLOOMFIELD-TRAVIS,138,85,14,32,7
WILLIAMSBRIDGE-OLINVILLE,557,418,55,19,65
WASHINGTON HEIGHTS NORTH,1286,1155,73,13,45
BRIARWOOD-JAMAICA HILLS,272,228,22,4,18
OAKWOOD-OAKWOOD BEACH,98,58,10,16,14
ROSSVILLE-WOODROW,56,27,9,11,9
UPPER EAST SIDE-CARNEGIE HILL,783,650,69,46,17
MURRAY HILL,169,124,21,14,10
BROOKLYN HEIGHTS-COBBLE HILL,338,271,24,38,5
EAST FLUSHING,72,55,6,5,6
MIDWOOD,459,370,40,21,28
STEINWAY,410,336,39,7,28
OLD TOWN-DONGAN HILLS-SOUTH BEACH,148,96,10,29,13
HUDSON YARDS-CHELSEA-FLATIRON-UNION SQUARE,1548,1282,82,135,48
BUSHWICK NORTH,718,562,46,37,73
YORKVILLE,1078,949,81,29,19
PARK-CEMETERY-ETC-MANHATTAN,8,3,3,2,0
MARBLE HILL-INWOOD,437,347,48,16,26
HAMILTON HEIGHTS,1274,1156,63,19,36
CLINTON,1166,1008,76,48,34
BRIGHTON BEACH,394,319,27,35,13
GLEN OAKS-FLORAL PARK-NEW HYDE PARK,82,64,6,3,9
BEDFORD,770,592,59,40,79
CROTONA PARK EAST,204,172,12,10,10
GRYMES HILL-CLIFTON-FOX HILLS,165,110,23,15,17
TODT HILL-EMERSON HILL-HEARTLAND VILLAGE-LIGHTHOUSE HILL,201,105,16,39,41
GRAMERCY,871,803,41,15,11
VAN NEST-MORRIS PARK-WESTCHESTER SQUARE,217,155,19,27,16
03/26/2012 06:42:34 PM,1,0,0,0,0
JAMAICA,397,305,23,39,30
MORRISANIA-MELROSE,386,315,28,12,31
SOUNDVIEW-BRUCKNER,257,200,26,7,24
FOREST HILLS,742,595,87,35,25
SPUYTEN DUYVIL-KINGSBRIDGE,371,308,35,16,12
ROSEDALE,71,50,4,4,13
PARK-CEMETERY-ETC-BRONX,4,3,0,0,1
ERASMUS,396,294,37,17,48
ARDEN HEIGHTS,56,29,2,11,14
RICHMOND HILL,298,197,45,26,30
DUMBO-VINEGAR HILL-DOWNTOWN BROOKLYN-BOERUM HILL,721,608,36,39,38
QUEENSBORO HILL,46,35,6,3,2
RIKERS ISLAND,9,5,2,2,0
RIDGEWOOD,520,413,53,19,35
KEW GARDENS HILLS,269,204,38,12,15
BELMONT,256,202,36,6,11
CROWN HEIGHTS NORTH,1558,1251,116,65,126
HIGHBRIDGE,459,367,33,13,46
SOUNDVIEW-CASTLE HILL-CLASON POINT-HARDING PARK,325,232,50,16,27
FORDHAM SOUTH,249,192,34,12,11
NEW DORP-MIDLAND BEACH,153,52,13,68,20
PELHAM BAY-COUNTRY CLUB-CITY ISLAND,215,163,24,15,13
BAY RIDGE,1134,969,94,44,27
QUEENS VILLAGE,179,109,31,15,24
GRASMERE-ARROCHAR-FT. WADSWORTH,81,51,9,8,13
WEST VILLAGE,1201,999,91,72,38
WOODLAWN-WAKEFIELD,323,242,43,12,26
CO-OP CITY,322,254,38,6,23
HOLLIS,153,110,10,6,27
WOODSIDE,252,207,25,6,14
STUYVESANT HEIGHTS,804,596,77,51,80
BAISLEY PARK,193,106,32,12,43
MANHATTANVILLE,306,243,26,11,26
BROWNSVILLE,473,357,51,25,40
BREEZY POINT-BELLE HARBOR-ROCKAWAY PARK-BROAD CHANNEL,333,215,49,59,10
PARKCHESTER,363,247,95,7,14
EAST HARLEM NORTH,751,629,49,25,48
WILLIAMSBURG,76,59,9,5,3
EAST TREMONT,454,362,41,26,25
COLLEGE POINT,124,91,11,12,10
WEST FARMS-BRONX RIVER,221,171,29,3,18
BAYSIDE-BAYSIDE HILLS,233,172,34,15,12
NTA,1,0,0,0,0
